No,양식장,날짜,라벨,라벨2(어장_수조_샘플번호_날짜_길이_무게_사이즈),체장(mm),체중(g),수조번호,사육미수,일일폐사량,사료정보,일일 사료 급이량(KG),투약일자,약품명,투여량(ML 또는 L),투여단위,투여방법,기타사항,검출 병원체
646,HM,220726,HM072611,F03_U01_O0646_D2022-07-26_L245_W0146_S1,245,146,A14,6850 ,17,생사료(MP),100,,,,,,,00000011
647,HM,220726,HM072612,F03_U01_O0647_D2022-07-26_L265_W0172_S1,265,172,A14,6850 ,17,생사료(MP),100,,,,,,,00000021
648,HM,220726,HM072613,F03_U01_O0648_D2022-07-26_L250_W0167_S1,250,167,A14,6850 ,17,생사료(MP),100,,,,,,,00000111
649,HM,220726,HM072614,F03_U01_O0649_D2022-07-26_L230_W0121_S1,230,121,A14,6850 ,17,생사료(MP),100,,,,,,,00000011
650,HM,220726,HM072615,F03_U01_O0650_D2022-07-26_L225_W0122_S1,225,122,A14,6850 ,17,생사료(MP),100,,,,,,,00000111
651,HM,220726,HM072616,F03_U01_O0651_D2022-07-26_L245_W0126_S1,245,126,A14,6850 ,17,생사료(MP),100,,,,,,,00000021
652,OS,220726,OS072601,F01_U01_O0652_D2022-07-26_L405_W0468_S2,405,468,E1,3500 ,2,생사료(MP),80,,,,,,,00000613
653,OS,220726,OS072602,F01_U01_O0653_D2022-07-26_L300_W0262_S2,300,262,E2,3500 ,2,생사료(MP),80,,,,,,,00020619
654,OS,220726,OS072603,F01_U01_O0654_D2022-07-26_L350_W0296_S2,350,296,E3,3500 ,1,생사료(MP),80,,,,,,,00000613
655,OS,220726,OS072604,F01_U01_O0655_D2022-07-26_L395_W0443_S2,395,443,E5,3500 ,0,생사료(MP),80,,,,,,,00000006
656,OS,220726,OS072605,F01_U01_O0656_D2022-07-26_L340_W0427_S2,340,427,B1,3500 ,6,생사료(MP),80,,,,,,,00000006
657,OS,220726,OS072606,F01_U01_O0657_D2022-07-26_L320_W0199_S1,320,199,B2,3500 ,3,생사료(MP),80,,,,,,,00000006
658,OS,220726,OS072607,F01_U01_O0658_D2022-07-26_L300_W0241_S2,300,241,B3,3500 ,1,생사료(MP),80,,,,,,,00000611
659,OS,220726,OS072608,F01_U01_O0659_D2022-07-26_L310_W0203_S2,310,203,B4,3500 ,1,생사료(MP),80,,,,,,,00000006
660,OS,220726,OS072609,F01_U01_O0660_D2022-07-26_L330_W0303_S2,330,303,F1,3500 ,1,생사료(MP),80,,,,,,,00000613
661,OS,220726,OS072610,F01_U01_O0661_D2022-07-26_L335_W0243_S2,335,243,F2,3500 ,5,생사료(MP),80,,,,,,,00000013
662,OS,220726,OS072611,F01_U01_O0662_D2022-07-26_L300_W0237_S2,300,237,F3,3500 ,3,생사료(MP),80,,,,,,,00000021
663,OS,220726,OS072612,F01_U01_O0663_D2022-07-26_L370_W0386_S2,370,386,F4,3500 ,1,생사료(MP),80,,,,,,,00000002
664,OS,220726,OS072613,F01_U01_O0664_D2022-07-26_L295_W0250_S2,295,250,F5,3500 ,1,생사료(MP),80,,,,,,,00020619
665,OS,220726,OS072614,F01_U01_O0665_D2022-07-26_L340_W0328_S2,340,328,F6,3500 ,1,생사료(MP),80,,,,,,,00000619
666,OS,220726,OS072615,F01_U01_O0666_D2022-07-26_L350_W0252_S2,350,252,F7,3500 ,3,생사료(MP),80,,,,,,,00000006
667,OS,220726,OS072616,F01_U01_O0667_D2022-07-26_L290_W0286_S2,290,286,F8,3500 ,3,생사료(MP),80,,,,,,,00061319
668,IC,220727,IC072701,F02_U01_O0668_D2022-07-27_L290_W0638_S3,290,638,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000021
669,IC,220727,IC072702,F02_U01_O0669_D2022-07-27_L270_W0617_S3,270,617,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000018
670,IC,220727,IC072703,F02_U01_O0670_D2022-07-27_L420_W0759_S3,420,759,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000018
671,IC,220727,IC072704,F02_U01_O0671_D2022-07-27_L430_W0726_S3,430,726,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000021
672,IC,220727,IC072705,F02_U01_O0672_D2022-07-27_L390_W0643_S3,390,643,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000021
673,IC,220727,IC072706,F02_U01_O0673_D2022-07-27_L360_W0515_S3,360,515,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000021
674,IC,220727,IC072707,F02_U01_O0674_D2022-07-27_L330_W0364_S2,330,364,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000021
675,IC,220727,IC072708,F02_U01_O0675_D2022-07-27_L400_W0727_S3,400,727,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000021
676,IC,220727,IC072709,F02_U01_O0676_D2022-07-27_L400_W0725_S3,400,725,신설동7,2920 ,3,생사료(MP),75,,,,,,,00000218
677,HM,220727,HM072701,F03_U01_O0677_D2022-07-27_L280_W0221_S2,280,221,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
678,HM,220727,HM072702,F03_U01_O0678_D2022-07-27_L290_W0212_S2,290,212,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
679,HM,220727,HM072703,F03_U01_O0679_D2022-07-27_L270_W0197_S1,270,197,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
680,HM,220727,HM072704,F03_U01_O0680_D2022-07-27_L275_W0218_S2,275,218,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
681,HM,220727,HM072705,F03_U01_O0681_D2022-07-27_L260_W0114_S1,260,114,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
682,HM,220727,HM072706,F03_U01_O0682_D2022-07-27_L250_W0164_S1,250,164,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
683,HM,220727,HM072707,F03_U01_O0683_D2022-07-27_L270_W0198_S1,270,198,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
684,HM,220727,HM072708,F03_U01_O0684_D2022-07-27_L250_W0163_S1,250,163,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
685,HM,220727,HM072709,F03_U01_O0685_D2022-07-27_L260_W0185_S1,260,185,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
686,HM,220727,HM072710,F03_U01_O0686_D2022-07-27_L240_W0140_S1,240,140,A13,6850 ,14,생사료(MP),100,,,,,,,00000008
687,TP,220727,TP072701,F04_U01_O0687_D2022-07-27_L325_W0320_S2,325,320,A1,3500 ,5,생사료(MP),80,,,,,,,00000021
688,TP,220727,TP072702,F04_U01_O0688_D2022-07-27_L360_W0497_S2,360,497,A2,3500 ,0,생사료(MP),80,,,,,,,00000011
689,TP,220727,TP072703,F04_U01_O0689_D2022-07-27_L330_W0372_S2,330,372,A3,3500 ,2,생사료(MP),80,,,,,,,00000018
690,TP,220727,TP072704,F04_U01_O0690_D2022-07-27_L350_W0416_S2,350,416,A4,3500 ,2,생사료(MP),80,,,,,,,00000011
691,TP,220727,TP072705,F04_U01_O0691_D2022-07-27_L415_W0746_S3,415,746,A5,3500 ,4,생사료(MP),80,,,,,,,00000021
692,TP,220727,TP072706,F04_U01_O0692_D2022-07-27_L295_W0257_S2,295,257,B1,3500 ,1,생사료(MP),80,,,,,,,00000019
693,TP,220727,TP072707,F04_U01_O0693_D2022-07-27_L400_W0690_S3,400,690,B2,3500 ,1,생사료(MP),80,,,,,,,00000011
694,TP,220727,TP072708,F04_U01_O0694_D2022-07-27_L360_W0424_S2,360,424,B3,3500 ,1,생사료(MP),80,,,,,,,00000019
695,TP,220727,TP072709,F04_U01_O0695_D2022-07-27_L350_W0410_S2,350,410,B4,3500 ,1,생사료(MP),80,,,,,,,00000021
696,TP,220727,TP072710,F04_U01_O0696_D2022-07-27_L350_W0447_S2,350,447,B5,3500 ,0,생사료(MP),80,,,,,,,00000019
697,HM,220728,HM072801,F03_U01_O0697_D2022-07-28_L275_W0232_S2,275,232,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
698,HM,220728,HM072802,F03_U01_O0698_D2022-07-28_L280_W0255_S2,280,255,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
699,HM,220728,HM072803,F03_U01_O0699_D2022-07-28_L290_W0269_S2,290,269,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
700,HM,220728,HM072804,F03_U01_O0700_D2022-07-28_L250_W0170_S1,250,170,A6,6650 ,9,생사료(MP),100,,,,,,,00000817
701,HM,220728,HM072805,F03_U01_O0701_D2022-07-28_L270_W0201_S2,270,201,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
702,HM,220728,HM072806,F03_U01_O0702_D2022-07-28_L235_W0157_S1,235,157,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
703,HM,220728,HM072807,F03_U01_O0703_D2022-07-28_L235_W0136_S1,235,136,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
704,HM,220728,HM072808,F03_U01_O0704_D2022-07-28_L280_W0253_S2,280,253,A6,6650 ,9,생사료(MP),100,,,,,,,00000817
705,HM,220728,HM072809,F03_U01_O0705_D2022-07-28_L265_W0205_S2,265,205,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
706,HM,220728,HM072810,F03_U01_O0706_D2022-07-28_L280_W0239_S2,280,239,A6,6650 ,9,생사료(MP),100,,,,,,,00000008
707,IC,220728,IC072801,F02_U01_O0707_D2022-07-28_L335_W0345_S2,335,345,D2,1230 ,2,생사료(MP),50,,,,,,,00000019
708,IC,220728,IC072802,F02_U01_O0708_D2022-07-28_L350_W0368_S2,350,368,D2,1230 ,2,생사료(MP),50,,,,,,,00000021
709,IC,220728,IC072803,F02_U01_O0709_D2022-07-28_L330_W0406_S2,330,406,D2,1230 ,2,생사료(MP),50,,,,,,,00000021
710,IC,220728,IC072804,F02_U01_O0710_D2022-07-28_L340_W0349_S2,340,349,D2,1230 ,2,생사료(MP),50,,,,,,,00000021
711,IC,220728,IC072805,F02_U01_O0711_D2022-07-28_L315_W0365_S2,315,365,D2,1230 ,2,생사료(MP),50,,,,,,,00000002
712,IC,220728,IC072806,F02_U01_O0712_D2022-07-28_L290_W0262_S2,290,262,D2,1230 ,2,생사료(MP),50,,,,,,,00000002
713,IC,220728,IC072807,F02_U01_O0713_D2022-07-28_L320_W0308_S2,320,308,D2,1230 ,2,생사료(MP),50,,,,,,,00000206
714,TP,220728,TP072801,F04_U01_O0714_D2022-07-28_L230_W0099_S1,230,99,A1,3500 ,0,생사료(MP),80,,,,,,,00000019
715,TP,220728,TP072802,F04_U01_O0715_D2022-07-28_L325_W0259_S2,325,259,A2,3500 ,1,생사료(MP),80,,,,,,,00000021
716,TP,220728,TP072803,F04_U01_O0716_D2022-07-28_L300_W0245_S2,300,245,A3,3500 ,1,생사료(MP),80,,,,,,,00000019
717,TP,220728,TP072804,F04_U01_O0717_D2022-07-28_L315_W0292_S2,315,292,A4,3500 ,1,생사료(MP),80,,,,,,,00000006
718,TP,220728,TP072805,F04_U01_O0718_D2022-07-28_L320_W0348_S2,320,348,A5,3500 ,3,생사료(MP),80,,,,,,,00000619
719,TP,220728,TP072806,F04_U01_O0719_D2022-07-28_L320_W0269_S2,320,269,B1,3500 ,2,생사료(MP),80,,,,,,,00000613
720,TP,220728,TP072807,F04_U01_O0720_D2022-07-28_L305_W0247_S2,305,247,B2,3500 ,2,생사료(MP),80,,,,,,,00000619
721,IC,220801,IC080101,F02_U01_O0721_D2022-08-01_L350_W0513_S3,350,513,D3,1120 ,3,생사료(MP),50,,,,,,,00000021
722,IC,220801,IC080102,F02_U01_O0722_D2022-08-01_L385_W0562_S3,385,562,D3,1120 ,3,생사료(MP),50,,,,,,,00000021
723,IC,220801,IC080103,F02_U01_O0723_D2022-08-01_L345_W0409_S2,345,409,D3,1120 ,3,생사료(MP),50,,,,,,,00000213
724,IC,220801,IC080104,F02_U01_O0724_D2022-08-01_L335_W0402_S2,335,402,D3,1120 ,3,생사료(MP),50,,,,,,,00000021
725,IC,220801,IC080105,F02_U01_O0725_D2022-08-01_L330_W0408_S2,330,408,D3,1120 ,3,생사료(MP),50,,,,,,,00000013
726,IC,220801,IC080106,F02_U01_O0726_D2022-08-01_L350_W0430_S2,350,430,D3,1120 ,3,생사료(MP),50,,,,,,,00000213
727,IC,220801,IC080107,F02_U01_O0727_D2022-08-01_L335_W0431_S2,335,431,D3,1120 ,3,생사료(MP),50,,,,,,,00000021
728,IC,220801,IC080108,F02_U01_O0728_D2022-08-01_L410_W0666_S3,410,666,D3,1120 ,3,생사료(MP),50,,,,,,,00000013
729,IC,220801,IC080109,F02_U01_O0729_D2022-08-01_L380_W0535_S3,380,535,D3,1120 ,3,생사료(MP),50,,,,,,,00000021
730,IC,220801,IC080110,F02_U01_O0730_D2022-08-01_L350_W0655_S3,350,655,D3,1120 ,3,생사료(MP),50,,,,,,,00000813
731,HM,220801,HM080101,F03_U01_O0731_D2022-08-01_L270_W0196_S1,270,196,A13,6850 ,18,생사료(MP),100,,,,,,,00000008
732,HM,220801,HM080102,F03_U01_O0732_D2022-08-01_L270_W0212_S2,270,212,A13,6850 ,18,생사료(MP),100,,,,,,,00000021
733,HM,220801,HM080103,F03_U01_O0733_D2022-08-01_L265_W0222_S2,265,222,A13,6850 ,18,생사료(MP),100,,,,,,,00000008
734,HM,220801,HM080104,F03_U01_O0734_D2022-08-01_L285_W0265_S2,285,265,A13,6850 ,18,생사료(MP),100,,,,,,,00000021
735,HM,220801,HM080105,F03_U01_O0735_D2022-08-01_L270_W0203_S2,270,203,A13,6850 ,18,생사료(MP),100,,,,,,,00000013
736,HM,220801,HM080106,F03_U01_O0736_D2022-08-01_L260_W0180_S1,260,180,A13,6850 ,18,생사료(MP),100,,,,,,,00000021
737,HM,220801,HM080107,F03_U01_O0737_D2022-08-01_L285_W0266_S2,285,266,A13,6850 ,18,생사료(MP),100,,,,,,,00000813
738,HM,220801,HM080108,F03_U01_O0738_D2022-08-01_L245_W0166_S1,245,166,A13,6850 ,18,생사료(MP),100,,,,,,,00000817
739,HM,220801,HM080109,F03_U01_O0739_D2022-08-01_L270_W0208_S2,270,208,A13,6850 ,18,생사료(MP),100,,,,,,,00000008
740,HM,220801,HM080110,F03_U01_O0740_D2022-08-01_L280_W0239_S2,280,239,A13,6850 ,18,생사료(MP),100,,,,,,,00000008
741,HY,220801,HY080101,F05_U01_O0741_D2022-08-01_L290_W0181_S1,290,181,E4,3200 ,,배합사료(EP),100,,,,,,,00000021
742,HY,220801,HY080102,F05_U01_O0742_D2022-08-01_L340_W0408_S2,340,408,E4,3200 ,,배합사료(EP),100,,,,,,,00000021
743,OS,220801,OS080101,F01_U01_O0743_D2022-08-01_L325_W0220_S2,325,220,D1,3500 ,3,생사료(MP),100,,,,,,,00000006
744,OS,220801,OS080102,F01_U01_O0744_D2022-08-01_L340_W0344_S2,340,344,D2,3500 ,3,생사료(MP),100,,,,,,,00000021
745,OS,220801,OS080103,F01_U01_O0745_D2022-08-01_L310_W0253_S2,310,253,D3,3500 ,0,생사료(MP),100,,,,,,,00000021
746,OS,220801,OS080104,F01_U01_O0746_D2022-08-01_L340_W0379_S2,340,379,D4,3500 ,0,생사료(MP),100,,,,,,,00000618
747,OS,220801,OS080105,F01_U01_O0747_D2022-08-01_L295_W0194_S1,295,194,D5,3500 ,4,생사료(MP),100,,,,,,,00000006
748,OS,220801,OS080106,F01_U01_O0748_D2022-08-01_L305_W0226_S2,305,226,D6,3500 ,3,생사료(MP),100,,,,,,,00000006
749,OS,220801,OS080107,F01_U01_O0749_D2022-08-01_L330_W0407_S2,330,407,D7,3500 ,5,생사료(MP),100,,,,,,,00000006
750,OS,220801,OS080108,F01_U01_O0750_D2022-08-01_L290_W0255_S2,290,255,D8,3400 ,5,생사료(MP),100,,,,,,,00000006
751,OS,220801,OS080109,F01_U01_O0751_D2022-08-01_L370_W0522_S3,370,522,D9,3400 ,1,생사료(MP),100,,,,,,,00000006
752,OS,220801,OS080110,F01_U01_O0752_D2022-08-01_L285_W0185_S1,285,185,D10,3400 ,1,생사료(MP),100,,,,,,,00000618
753,IC,220802,IC080201,F02_U01_O0753_D2022-08-02_L335_W0382_S2,335,382,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000021
754,IC,220802,IC080202,F02_U01_O0754_D2022-08-02_L440_W0812_S3,440,812,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000021
755,IC,220802,IC080203,F02_U01_O0755_D2022-08-02_L440_W0773_S3,440,773,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000007
756,IC,220802,IC080204,F02_U01_O0756_D2022-08-02_L420_W0728_S3,420,728,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000607
757,IC,220802,IC080205,F02_U01_O0757_D2022-08-02_L410_W0652_S3,410,652,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000607
758,IC,220802,IC080206,F02_U01_O0758_D2022-08-02_L300_W0216_S2,300,216,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000021
759,IC,220802,IC080207,F02_U01_O0759_D2022-08-02_L320_W0382_S2,320,382,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000614
760,IC,220802,IC080208,F02_U01_O0760_D2022-08-02_L410_W0664_S3,410,664,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000618
761,IC,220802,IC080209,F02_U01_O0761_D2022-08-02_L300_W0284_S2,300,284,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000613
762,IC,220802,IC080210,F02_U01_O0762_D2022-08-02_L420_W0886_S3,420,886,신설동14,2160 ,2,생사료(MP),50,,,,,,,00000006
763,HM,220802,HM080201,F03_U01_O0763_D2022-08-02_L290_W0234_S2,290,234,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
764,HM,220802,HM080202,F03_U01_O0764_D2022-08-02_L300_W0312_S2,300,312,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
765,HM,220802,HM080203,F03_U01_O0765_D2022-08-02_L275_W0201_S2,275,201,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000021
766,HM,220802,HM080204,F03_U01_O0766_D2022-08-02_L270_W0189_S1,270,189,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
767,HM,220802,HM080205,F03_U01_O0767_D2022-08-02_L290_W0256_S2,290,256,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000013
768,HM,220802,HM080206,F03_U01_O0768_D2022-08-02_L290_W0261_S2,290,261,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000013
769,HM,220802,HM080207,F03_U01_O0769_D2022-08-02_L265_W0172_S1,265,172,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000813
770,HM,220802,HM080208,F03_U01_O0770_D2022-08-02_L280_W0212_S2,280,212,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000013
771,HM,220802,HM080209,F03_U01_O0771_D2022-08-02_L285_W0262_S2,285,262,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,07081318
772,HM,220802,HM080210,F03_U01_O0772_D2022-08-02_L300_W0260_S2,300,260,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000708
773,HM,220802,HM080211,F03_U01_O0773_D2022-08-02_L270_W0211_S2,270,211,A3,3600 ,3,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000708
774,OS,220802,OS080201,F01_U01_O0774_D2022-08-02_L350_W0345_S2,350,345,D1,3500 ,4,생사료(MP),100,,,,,,,00071718
775,OS,220802,OS080202,F01_U01_O0775_D2022-08-02_L370_W0549_S3,370,549,D2,3500 ,1,생사료(MP),100,,,,,,,00000711
776,OS,220802,OS080203,F01_U01_O0776_D2022-08-02_L350_W0372_S2,350,372,D3,3500 ,0,생사료(MP),100,,,,,,,00000607
777,OS,220802,OS080204,F01_U01_O0777_D2022-08-02_L425_W0652_S3,425,652,D4,3500 ,0,생사료(MP),100,,,,,,,00061318
778,OS,220802,OS080205,F01_U01_O0778_D2022-08-02_L370_W0492_S2,370,492,D5,3500 ,2,생사료(MP),100,,,,,,,00000611
779,OS,220802,OS080206,F01_U01_O0779_D2022-08-02_L440_W0831_S3,440,831,D6,3500 ,3,생사료(MP),100,,,,,,,00000006
780,OS,220802,OS080207,F01_U01_O0780_D2022-08-02_L390_W0476_S2,390,476,D7,3500 ,5,생사료(MP),100,,,,,,,00000613
781,OS,220802,OS080208,F01_U01_O0781_D2022-08-02_L390_W0554_S3,390,554,D8,3400 ,5,생사료(MP),100,,,,,,,00000611
782,OS,220802,OS080209,F01_U01_O0782_D2022-08-02_L350_W0312_S2,350,312,D9,3400 ,0,생사료(MP),100,,,,,,,00000619
783,OS,220802,OS080210,F01_U01_O0783_D2022-08-02_L400_W0487_S2,400,487,D10,3400 ,0,생사료(MP),100,,,,,,,00000618
784,OS,220802,OS080211,F01_U01_O0784_D2022-08-02_L320_W0312_S2,320,312,E1,3400 ,2,생사료(MP),90,,,,,,,00000618
785,OS,220802,OS080212,F01_U01_O0785_D2022-08-02_L315_W0283_S2,315,283,E2,3400 ,3,생사료(MP),90,,,,,,,00000021
786,OS,220802,OS080213,F01_U01_O0786_D2022-08-02_L395_W0522_S3,395,522,E3,3400 ,2,생사료(MP),90,,,,,,,00000019
787,OS,220802,OS080214,F01_U01_O0787_D2022-08-02_L315_W0347_S2,315,347,E4,3400 ,1,생사료(MP),90,,,,,,,00000219
788,IC,220803,IC080301,F02_U01_O0788_D2022-08-03_L370_W0458_S2,370,458,해올래18,2150 ,3,생사료(MP),,,,,,,,00000002
789,IC,220803,IC080302,F02_U01_O0789_D2022-08-03_L325_W0357_S2,325,357,해올래18,2150 ,3,생사료(MP),,,,,,,,00000021
790,IC,220803,IC080303,F02_U01_O0790_D2022-08-03_L330_W0344_S2,330,344,해올래18,2150 ,3,생사료(MP),,,,,,,,00000021
791,IC,220803,IC080304,F02_U01_O0791_D2022-08-03_L325_W0353_S2,325,353,해올래18,2150 ,3,생사료(MP),,,,,,,,00000018
792,IC,220803,IC080305,F02_U01_O0792_D2022-08-03_L340_W0524_S3,340,524,해올래18,2150 ,3,생사료(MP),,,,,,,,00000018
793,IC,220803,IC080306,F02_U01_O0793_D2022-08-03_L315_W0215_S2,315,215,해올래18,2150 ,3,생사료(MP),,,,,,,,00000207
794,IC,220803,IC080307,F02_U01_O0794_D2022-08-03_L310_W0315_S2,310,315,해올래18,2150 ,3,생사료(MP),,,,,,,,00000207
795,IC,220803,IC080308,F02_U01_O0795_D2022-08-03_L305_W0244_S2,305,244,해올래18,2150 ,3,생사료(MP),,,,,,,,00020714
796,IC,220803,IC080309,F02_U01_O0796_D2022-08-03_L360_W0438_S2,360,438,해올래18,2150 ,3,생사료(MP),,,,,,,,00000713
797,IC,220803,IC080310,F02_U01_O0797_D2022-08-03_L305_W0312_S2,305,312,해올래18,2150 ,3,생사료(MP),,,,,,,,00000607
798,HD,220803,HD080301,F06_U01_O0798_D2022-08-03_L310_W0293_S2,310,293,D1,3500 ,,생사료(MP),80,,,,,,,00000017
799,HD,220803,HD080302,F06_U01_O0799_D2022-08-03_L310_W0378_S2,310,378,D1,3500 ,,생사료(MP),80,,,,,,,00000021
800,HD,220803,HD080303,F06_U01_O0800_D2022-08-03_L265_W0189_S1,265,189,A2,3500 ,,생사료(MP),80,,,,,,,00000021
801,HM,220803,HM080301,F03_U01_O0801_D2022-08-03_L280_W0199_S1,280,199,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000021
802,HM,220803,HM080302,F03_U01_O0802_D2022-08-03_L285_W0242_S2,285,242,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
803,HM,220803,HM080303,F03_U01_O0803_D2022-08-03_L280_W0246_S2,280,246,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
804,HM,220803,HM080304,F03_U01_O0804_D2022-08-03_L260_W0193_S1,260,193,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
805,HM,220803,HM080305,F03_U01_O0805_D2022-08-03_L250_W0169_S1,250,169,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000817
806,HM,220803,HM080306,F03_U01_O0806_D2022-08-03_L275_W0245_S2,275,245,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
807,HM,220803,HM080307,F03_U01_O0807_D2022-08-03_L265_W0203_S2,265,203,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
808,HM,220803,HM080308,F03_U01_O0808_D2022-08-03_L255_W0157_S1,255,157,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000008
809,HM,220803,HM080309,F03_U01_O0809_D2022-08-03_L240_W0183_S1,240,183,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00010813
810,HM,220803,HM080310,F03_U01_O0810_D2022-08-03_L265_W0206_S2,265,206,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000013
811,HM,220803,HM080311,F03_U01_O0811_D2022-08-03_L280_W0233_S2,280,233,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000108
812,HM,220803,HM080312,F03_U01_O0812_D2022-08-03_L260_W0170_S1,260,170,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000708
813,HM,220803,HM080313,F03_U01_O0813_D2022-08-03_L280_W0234_S2,280,234,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000717
814,HM,220803,HM080314,F03_U01_O0814_D2022-08-03_L260_W0200_S1,260,200,A7,3900 ,6,생사료(MP),,2022-08-01,세프티오퍼,0.2,ml/kg,근육주사,,00000017
815,OS,220803,OS080301,F01_U01_O0815_D2022-08-03_L435_W0806_S3,435,806,D1,3500 ,3,생사료(MP),80,,,,,,,00000611
816,OS,220803,OS080302,F01_U01_O0816_D2022-08-03_L440_W0694_S3,440,694,D2,3500 ,3,생사료(MP),80,,,,,,,00000607
817,OS,220803,OS080303,F01_U01_O0817_D2022-08-03_L410_W0484_S2,410,484,D3,3500 ,0,생사료(MP),80,,,,,,,00000607
818,OS,220803,OS080304,F01_U01_O0818_D2022-08-03_L375_W0474_S2,375,474,D4,3500 ,0,생사료(MP),90,,,,,,,00000607
819,OS,220803,OS080305,F01_U01_O0819_D2022-08-03_L275_W0152_S1,275,152,D5,3500 ,4,생사료(MP),90,,,,,,,00000006
820,OS,220803,OS080306,F01_U01_O0820_D2022-08-03_L290_W0168_S1,290,168,D6,3500 ,3,생사료(MP),90,,,,,,,00000619
821,OS,220803,OS080307,F01_U01_O0821_D2022-08-03_L315_W0244_S2,315,244,D7,3500 ,5,생사료(MP),90,,,,,,,00000006
822,OS,220803,OS080308,F01_U01_O0822_D2022-08-03_L300_W0162_S1,300,162,D8,3400 ,5,생사료(MP),90,,,,,,,00061417
823,OS,220803,OS080309,F01_U01_O0823_D2022-08-03_L310_W0179_S1,310,179,D9,3400 ,1,생사료(MP),90,,,,,,,00000619
