No,양식장,날짜,라벨,라벨2(어장_수조_샘플번호_날짜_길이_무게_사이즈),체장(mm),체중(g),수조번호,사육미수,일일폐사량,사료정보,일일 사료 급이량(KG),투약일자,약품명,투여량(ML 또는 L),투여단위,투여방법,기타사항,검출 병원체
2791,HM,221006,HM100613,F03_U01_O2791_D2022-10-06_L300_W0253_S2,300,253,A5,3000 ,2,생사료(MP),70,,,,,,,00000021
2792,HM,221006,HM100614,F03_U01_O2792_D2022-10-06_L315_W0340_S2,315,340,A5,3000 ,2,생사료(MP),70,,,,,,,00000021
2793,HM,221006,HM100615,F03_U01_O2793_D2022-10-06_L360_W0457_S2,360,457,A5,3000 ,2,생사료(MP),70,,,,,,,00000021
2794,HM,221006,HM100616,F03_U01_O2794_D2022-10-06_L315_W0314_S2,315,314,A5,3000 ,2,생사료(MP),70,,,,,,,00000021
2795,TP,221006,TP100601,F04_U01_O2795_D2022-10-06_L315_W0289_S2,315,289,C3,3200 ,3,생사료(MP),90,,,,,,,00000006
2796,TP,221006,TP100602,F04_U01_O2796_D2022-10-06_L365_W0387_S2,365,387,C3,3200 ,3,생사료(MP),90,,,,,,,00000006
2797,TP,221006,TP100603,F04_U01_O2797_D2022-10-06_L365_W0370_S2,365,370,C3,3200 ,3,생사료(MP),90,,,,,,,00000006
2798,TP,221006,TP100604,F04_U01_O2798_D2022-10-06_L380_W0521_S3,380,521,C4,3000 ,1,생사료(MP),100,,,,,,,00000618
2799,TP,221006,TP100605,F04_U01_O2799_D2022-10-06_L390_W0610_S3,390,610,C4,3000 ,1,생사료(MP),100,,,,,,,00000006
2800,TP,221006,TP100606,F04_U01_O2800_D2022-10-06_L380_W0526_S3,380,526,C4,3000 ,1,생사료(MP),100,,,,,,,00000611
2801,TP,221006,TP100607,F04_U01_O2801_D2022-10-06_L330_W0306_S2,330,306,C5,3200 ,5,생사료(MP),100,,,,,,,00000006
2802,TP,221006,TP100608,F04_U01_O2802_D2022-10-06_L320_W0278_S2,320,278,C5,3200 ,5,생사료(MP),100,,,,,,,00000006
